model,feature_count,train_rows,holdout_rows,train_default_count,holdout_default_count,roc_auc,pr_auc,brier_score,approval_70_default_rate,approval_80_default_rate,approval_90_default_rate
M1,20,24000,6000,1922,481,0.7116432780502359,0.20404944526164417,0.15465883693458934,0.04857142857142857,0.05354166666666667,0.060925925925925925
M2,31,24000,6000,1922,481,0.7104649634093374,0.20966662037298595,0.14949695131816684,0.04666666666666667,0.052083333333333336,0.06259259259259259
M3,38,24000,6000,1922,481,0.7200184281177215,0.21781261430927779,0.14458848447693928,0.045714285714285714,0.051666666666666666,0.06129629629629629
M4,45,24000,6000,1922,481,0.7221931117564385,0.21491979465418778,0.14076835609246033,0.04619047619047619,0.052083333333333336,0.05962962962962963
M5,52,24000,6000,1922,481,0.7268106887603173,0.22523071730053615,0.13817480949485972,0.04523809523809524,0.051458333333333335,0.05851851851851852
